Plot_ID,Block,Stratum,Year,Easting_UTM37S,Northing_UTM37S,Latitude,Longitude
BC_001,biodiversity_corridor,Biodiversity Corridor,,546546.5919,9509105.976,-4.441063634,39.41955005
BC_002,biodiversity_corridor,Biodiversity Corridor,,547546.5919,9511905.976,-4.415728201,39.42854886
BC_003,biodiversity_corridor,Biodiversity Corridor,,545546.5919,9508605.976,-4.445591976,39.41053916
BC_004,biodiversity_corridor,Biodiversity Corridor,,548346.5919,9512805.976,-4.407582137,39.43575456
BC_005,biodiversity_corridor,Biodiversity Corridor,,546446.5919,9508905.976,-4.442873452,39.41864973
BC_006,biodiversity_corridor,Biodiversity Corridor,,548646.5919,9512605.976,-4.409389847,39.43845951
BC_007,biodiversity_corridor,Biodiversity Corridor,,548346.5919,9512505.976,-4.410296091,39.43575615
BC_008,biodiversity_corridor,Biodiversity Corridor,,544346.5919,9508505.976,-4.44650258,39.3997235
BC_009,biodiversity_corridor,Biodiversity Corridor,,549046.5919,9512605.976,-4.40938771,39.44206471
BC_010,biodiversity_corridor,Biodiversity Corridor,,543946.5919,9508505.976,-4.446504529,39.39611811
BC_011,biodiversity_corridor,Biodiversity Corridor,,548546.5919,9512405.976,-4.411199681,39.43755927
BC_012,biodiversity_corridor,Biodiversity Corridor,,546946.5919,9510105.976,-4.432015052,39.42315026
BC_013,biodiversity_corridor,Biodiversity Corridor,,546346.5919,9509105.976,-4.441064658,39.41774737
BC_014,biodiversity_corridor,Biodiversity Corridor,,546446.5919,9509605.976,-4.436540883,39.41864616
BC_015,biodiversity_corridor,Biodiversity Corridor,,546646.5919,9509405.976,-4.438349163,39.42044985
BC_016,biodiversity_corridor,Biodiversity Corridor,,545846.5919,9508805.976,-4.443781157,39.41324219
BC_017,biodiversity_corridor,Biodiversity Corridor,,547146.5919,9510505.976,-4.428395408,39.42495084
BC_018,biodiversity_corridor,Biodiversity Corridor,,549746.5919,9512605.976,-4.409383926,39.44837379
BC_019,biodiversity_corridor,Biodiversity Corridor,,545846.5919,9509205.976,-4.440162545,39.41324017
BC_020,biodiversity_corridor,Biodiversity Corridor,,546546.5919,9509805.976,-4.434731066,39.41954648
BC_021,biodiversity_corridor,Biodiversity Corridor,,545046.5919,9508905.976,-4.442880512,39.40603095
BC_022,biodiversity_corridor,Biodiversity Corridor,,546946.5919,9510705.976,-4.426587138,39.42314717
BC_023,biodiversity_corridor,Biodiversity Corridor,,546846.5919,9509805.976,-4.434729525,39.42225047
BC_024,biodiversity_corridor,Biodiversity Corridor,,546946.5919,9509505.976,-4.437442965,39.42315334
BC_025,biodiversity_corridor,Biodiversity Corridor,,542846.5919,9507905.976,-4.451937732,39.3862061
BC_026,biodiversity_corridor,Biodiversity Corridor,,544946.5919,9508505.976,-4.446499625,39.40513158
BC_027,biodiversity_corridor,Biodiversity Corridor,,547446.5919,9511505.976,-4.41934733,39.42764962
BC_028,biodiversity_corridor,Biodiversity Corridor,,547046.5919,9511105.976,-4.422968012,39.42404643
BC_029,biodiversity_corridor,Biodiversity Corridor,,544146.5919,9508605.976,-4.445598902,39.39792032
BC_030,biodiversity_corridor,Biodiversity Corridor,,546246.5919,9509605.976,-4.436541904,39.4168435
BC_031,biodiversity_corridor,Biodiversity Corridor,,545246.5919,9508905.976,-4.442879517,39.40783363
BC_032,biodiversity_corridor,Biodiversity Corridor,,548846.5919,9512805.976,-4.407579479,39.44026104
BC_033,biodiversity_corridor,Biodiversity Corridor,,548046.5919,9512405.976,-4.411202325,39.43305277
BC_034,biodiversity_corridor,Biodiversity Corridor,,547446.5919,9511305.976,-4.421156634,39.42765066
BC_035,biodiversity_corridor,Biodiversity Corridor,,547146.5919,9510205.976,-4.431109365,39.42495239
BC_036,biodiversity_corridor,Biodiversity Corridor,,550146.5919,9512705.976,-4.408477091,39.45197843
BC_037,biodiversity_corridor,Biodiversity Corridor,,544146.5919,9508105.976,-4.450122176,39.39792274
BC_038,biodiversity_corridor,Biodiversity Corridor,,546746.5919,9509605.976,-4.436539344,39.42135016
BC_039,biodiversity_corridor,Biodiversity Corridor,,547246.5919,9510905.976,-4.424776281,39.4258501
BC_040,biodiversity_corridor,Biodiversity Corridor,,546446.5919,9509405.976,-4.438350189,39.41864718
BC_041,biodiversity_corridor,Biodiversity Corridor,,544646.5919,9508705.976,-4.444691799,39.40242656
BC_042,biodiversity_corridor,Biodiversity Corridor,,549346.5919,9512505.976,-4.410290745,39.44476914
BC_043,biodiversity_corridor,Biodiversity Corridor,,546746.5919,9510205.976,-4.43111143,39.42134709
BC_044,biodiversity_corridor,Biodiversity Corridor,,546046.5919,9509405.976,-4.438352226,39.41504184
BC_045,biodiversity_corridor,Biodiversity Corridor,,547046.5919,9509905.976,-4.433823839,39.42405261
