Block,Year,Stratum,Area_ha
biodiversity_corridor,,Biodiversity Corridor,581.0113875
licenced_area_corridor,,Biodiversity Corridor,484.68273124529367
1011,2020,Early Restoration,35.34878623652116
1012,2020,Early Restoration,24.044284448265344
1013,2020,Early Restoration,39.724404748491445
1014,2020,Early Restoration,31.048035006456484
1015,2021,Early Restoration,31.52316845663245
1016,2021,Early Restoration,50.20084650967269
10171,2021,Early Restoration,35.51351122732366
10181,2021,Early Restoration,36.19608544684045
10172,2022,Recent Restoration,37.266905988543805
10182,2022,Recent Restoration,18.669317002897845
1019,2023,Recent Restoration,31.632089712034063
1020,2023,Recent Restoration,22.14689153784674
1021,2024,Recent Restoration,24.389435168767495
1022,2024,Recent Restoration,23.10557672782341
