system:index,EVI,MNDWI,NBR,NDMI,NDRE,NDVI,NDWI,NIRv,SAVI,composite_stat,date,day,image_count,image_id,month,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,.geo
0_0,0.46908950977753233,-0.42184575938883656,0.4660943706664514,0.20298128253280467,0.48044882724700644,0.6521640087432885,-0.5733585851902129,0.1997190134402136,0.4030920935684037,median,2018-01-01,1,7,0,1,focal,ks_rehab,KS Rehab,ks_rehab_aoi.geojson,1514764800000,annual,2018,"{""type"":""Polygon"",""coordinates"":[[[39.3851433564268,-4.4487890759394535],[39.42587967809848,-4.4487890759394535],[39.42587967809848,-4.403622562984628],[39.38514335642681,-4.403622562984627],[39.3851433564268,-4.4487890759394535]]]}"
0_1,0.49732609311183745,-0.448110059678454,0.5214981335836107,0.2439911311940863,0.5351863891268994,0.7077951385222568,-0.620192448837052,0.21285923556093259,0.4262191208531197,median,2018-01-01,1,7,0,1,reference,buda,Buda,buda_aoi.geojson,1514764800000,annual,2018,"{""type"":""Polygon"",""coordinates"":[[[39.38481,-4.469975],[39.42287,-4.469975],[39.42287,-4.4385],[39.38481,-4.4385],[39.38481,-4.469975]]]}"
0_2,0.4607433550925566,-0.43449498000555026,0.46818368580232816,0.19559711848492883,0.4895014891266027,0.66821957409021,-0.5778946956389438,0.19305517067442887,0.3999912426963917,median,2018-01-01,1,7,0,1,reference,gogoni,Gogoni,gogoni_aoi.geojson,1514764800000,annual,2018,"{""type"":""Polygon"",""coordinates"":[[[39.45218200000001,-4.440197],[39.49385,-4.440197],[39.49385,-4.3979420000000005],[39.45218200000001,-4.3979420000000005],[39.45218200000001,-4.440197]]]}"
0_3,0.4938389418368163,-0.43318943006617927,0.4895720791715149,0.21786210727413274,0.4958718629640964,0.6840056372290102,-0.5915438135296521,0.21314909111568545,0.42251466036870167,median,2018-01-01,1,7,0,1,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1514764800000,annual,2018,"{""type"":""Polygon"",""coordinates"":[[[39.25828700000001,-4.364272],[39.506905999999994,-4.364272],[39.506906,-4.157254999999999],[39.258287,-4.157254999999999],[39.25828700000001,-4.364272]]]}"
0_4,0.5298732321968558,-0.5083883074354213,0.46074803163873085,0.19444798062168844,0.5132243340148172,0.7147356462147837,-0.6374065947980249,0.244576409296131,0.4695534706143809,median,2018-01-01,1,7,0,1,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1514764800000,annual,2018,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[38.922629,-4.360315],[38.94074,-4.360315],[38.94074,-4.334897],[38.922629,-4.334897],[38.922629,-4.360315]]]}"
0_5,0.2831999304169974,-0.33968735226183483,0.4855935958909297,0.26423275821551084,0.467710846965455,0.6355836720694461,-0.5721554673078331,0.10818687317349884,0.25378588891887827,median,2018-01-01,1,7,0,1,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1514764800000,annual,2018,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.357191,-4.502112],[39.373757,-4.502112],[39.373757,-4.485084],[39.357191,-4.485084],[39.357191,-4.502112]]]}"
1_0,0.3714652293621044,-0.5138375750484491,0.30458574232771346,0.06811070974499735,0.4156753005604554,0.5687515860913533,-0.5537001206697476,0.1552845423270239,0.3397429766011697,median,2019-01-01,1,76,1,1,focal,ks_rehab,KS Rehab,ks_rehab_aoi.geojson,1546300800000,annual,2019,"{""type"":""Polygon"",""coordinates"":[[[39.3851433564268,-4.4487890759394535],[39.42587967809848,-4.4487890759394535],[39.42587967809848,-4.403622562984628],[39.38514335642681,-4.403622562984627],[39.3851433564268,-4.4487890759394535]]]}"
1_1,0.45813084951922456,-0.49977906845342446,0.4612276340483128,0.19050668821775926,0.5093413826444103,0.6841831398916486,-0.6227569401533085,0.20062629108683322,0.4128813996033023,median,2019-01-01,1,76,1,1,reference,buda,Buda,buda_aoi.geojson,1546300800000,annual,2019,"{""type"":""Polygon"",""coordinates"":[[[39.38481,-4.469975],[39.42287,-4.469975],[39.42287,-4.4385],[39.38481,-4.4385],[39.38481,-4.469975]]]}"
1_2,0.46461611190812946,-0.4829543264236494,0.43891902358733415,0.17580969999865972,0.48691439458223607,0.6690955492338593,-0.5942086777843408,0.20105473808461258,0.4105297169705877,median,2019-01-01,1,76,1,1,reference,gogoni,Gogoni,gogoni_aoi.geojson,1546300800000,annual,2019,"{""type"":""Polygon"",""coordinates"":[[[39.45218200000001,-4.440197],[39.49385,-4.440197],[39.49385,-4.3979420000000005],[39.45218200000001,-4.3979420000000005],[39.45218200000001,-4.440197]]]}"
1_3,0.40174400834497304,-0.49746913374278456,0.34255550834286885,0.09722612900860123,0.43418876305273396,0.5988635696144439,-0.5595412433579261,0.16948325178146137,0.3616300336771981,median,2019-01-01,1,76,1,1,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1546300800000,annual,2019,"{""type"":""Polygon"",""coordinates"":[[[39.25828700000001,-4.364272],[39.506905999999994,-4.364272],[39.506906,-4.157254999999999],[39.258287,-4.157254999999999],[39.25828700000001,-4.364272]]]}"
