system:index,composite_stat,date,image_count,month,precipitation,system_time_start,temporal_scale,year,.geo
0,sum,2018-01-01,31,1,21.721544697231522,1514764800000,monthly,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,sum,2018-02-01,28,2,2.1236686589565643,1517443200000,monthly,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,sum,2018-03-01,31,3,180.49365969116795,1519862400000,monthly,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,sum,2018-04-01,30,4,247.3529151756294,1522540800000,monthly,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,sum,2018-05-01,31,5,414.59319705940396,1525132800000,monthly,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,sum,2018-06-01,30,6,108.43678527540608,1527811200000,monthly,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,sum,2018-07-01,31,7,86.20598914351835,1530403200000,monthly,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,sum,2018-08-01,31,8,73.04238728979419,1533081600000,monthly,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,sum,2018-09-01,30,9,136.8766228764584,1535760000000,monthly,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,sum,2018-10-01,31,10,284.8023586639376,1538352000000,monthly,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,sum,2018-11-01,30,11,80.92047277482841,1541030400000,monthly,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,sum,2018-12-01,31,12,110.20886663247316,1543622400000,monthly,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,sum,2019-01-01,31,1,8.653760229788581,1546300800000,monthly,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,sum,2019-02-01,28,2,6.825307049744849,1548979200000,monthly,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,sum,2019-03-01,31,3,17.14071466924345,1551398400000,monthly,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,sum,2019-04-01,30,4,68.12784880131335,1554076800000,monthly,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,sum,2019-05-01,31,5,598.8451120783604,1556668800000,monthly,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,sum,2019-06-01,30,6,118.56813417029525,1559347200000,monthly,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,sum,2019-07-01,31,7,76.72267512593639,1561939200000,monthly,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,sum,2019-08-01,31,8,69.91613210164932,1564617600000,monthly,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,sum,2019-09-01,30,9,86.51760216342673,1567296000000,monthly,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,sum,2019-10-01,31,10,550.80988732875,1569888000000,monthly,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,sum,2019-11-01,30,11,167.6138339895098,1572566400000,monthly,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,sum,2019-12-01,31,12,189.2967909540656,1575158400000,monthly,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,sum,2020-01-01,31,1,37.94989475351291,1577836800000,monthly,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,sum,2020-02-01,29,2,15.167624411278698,1580515200000,monthly,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,sum,2020-03-01,31,3,128.10110738231285,1583020800000,monthly,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,sum,2020-04-01,30,4,534.9066983435878,1585699200000,monthly,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,sum,2020-05-01,31,5,250.63773041247813,1588291200000,monthly,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,sum,2020-06-01,30,6,135.8303460258822,1590969600000,monthly,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,sum,2020-07-01,31,7,75.8767532498007,1593561600000,monthly,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,sum,2020-08-01,31,8,50.78468203377528,1596240000000,monthly,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,sum,2020-09-01,30,9,69.4981825416171,1598918400000,monthly,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,sum,2020-10-01,31,10,68.31469139242904,1601510400000,monthly,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,sum,2020-11-01,30,11,207.4061786733704,1604188800000,monthly,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,sum,2020-12-01,31,12,70.17566382861557,1606780800000,monthly,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,sum,2021-01-01,31,1,104.55325522068779,1609459200000,monthly,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,sum,2021-02-01,28,2,41.66737469561062,1612137600000,monthly,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,sum,2021-03-01,31,3,73.29836951389602,1614556800000,monthly,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,sum,2021-04-01,30,4,140.98178697703148,1617235200000,monthly,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,sum,2021-05-01,31,5,322.6753523608575,1619827200000,monthly,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,sum,2021-06-01,30,6,74.30511692507122,1622505600000,monthly,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,sum,2021-07-01,31,7,82.53092035275442,1625097600000,monthly,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
