,system:index,BLUE,EVI,GREEN,MNDWI,NBR,NDMI,NDVI,NDWI,NIR,NIRv,RED,SAVI,SWIR1,SWIR2,composite_stat,date,image_count,image_id,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,.geo,period,has_any_missing_value,n_missing_values
0,0_4,3.6135768575142585e-06,6.42464727100499e-05,7.3242493457584865e-06,-0.5236639691009556,0.4398128395422134,0.1594580734946634,0.643530559770719,-0.6283798488142459,3.266497166954198e-05,2.1453190562372745e-05,6.965162145569154e-06,7.709322706848446e-05,2.3780503465850813e-05,1.2798371050113376e-05,median,2014-01-01,17,0,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1388534400000,annual,2014,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",baseline,False,0
1,1_4,5.038187023907495e-06,5.741373382716059e-05,8.394945414213671e-06,-0.5455296119991317,0.27616835499271,0.0471060973848534,0.5649331031335627,-0.568524995257142,3.151821250342891e-05,1.8782589514326156e-05,8.554557128463212e-06,6.889393191529834e-05,2.9145255480998505e-05,1.8540660726720287e-05,median,2015-01-01,18,1,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1420070400000,annual,2015,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",baseline,False,0
2,2_4,4.929278630615006e-06,5.22383698314019e-05,8.461321945398874e-06,-0.5536849510961719,0.2486110407532092,0.0126671615234856,0.5399267474817425,-0.5595774726394376,3.003729597541428e-05,1.629318150595044e-05,8.854529939200914e-06,6.268408807777573e-05,2.925957404160435e-05,1.834263926594717e-05,median,2016-01-01,247,2,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1451606400000,annual,2016,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",baseline,False,0
3,3_4,4.443637879565031e-06,5.037563728399048e-05,7.836445346284345e-06,-0.574128137240599,0.2565105344702144,-0.0011914649264691,0.5416831758704579,-0.5722300801332272,2.9049130571013463e-05,1.564061177291967e-05,8.257745583857895e-06,6.044896612887992e-05,2.879607549773482e-05,1.7072291060839884e-05,median,2017-01-01,312,3,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1483228800000,annual,2017,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",baseline,False,0
4,4_4,4.558458776592884e-06,5.111165605752907e-05,7.6203049718753315e-06,-0.5837607266435197,0.2619915711820312,-0.0018686635263912,0.5688419130524036,-0.5790172177593504,2.8711337493910446e-05,1.6292290740811298e-05,7.890219771611785e-06,6.133206278692617e-05,2.97505691785364e-05,1.745786949980796e-05,median,2018-01-01,670,4,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1514764800000,annual,2018,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
5,5_4,2.928848605355384e-06,6.252546509364018e-05,6.412812821244705e-06,-0.5462219257034366,0.4627220465512052,0.167502105351002,0.6790303023021417,-0.6524175707555909,3.082931397692081e-05,2.118386400829983e-05,5.877065516212719e-06,7.502829983719999e-05,2.226434725223787e-05,1.154121970508264e-05,median,2019-01-01,705,5,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1546300800000,annual,2019,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
6,6_4,3.587965334008633e-06,6.013874536982633e-05,6.9674796710454495e-06,-0.5585844473761026,0.4052052246667606,0.1144255214180952,0.6572641608424105,-0.6294809797523706,3.045439530346961e-05,2.0104394998918227e-05,6.377824839417896e-06,7.216421710032674e-05,2.4806088889413448e-05,1.3293001785557164e-05,median,2020-01-01,653,6,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1577836800000,annual,2020,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
7,7_4,4.517050718836987e-06,5.387232800757261e-05,7.739885247907003e-06,-0.5805165093871675,0.2723111599358901,0.0105778908152894,0.5689314748564857,-0.5849530408343562,3.0116988396024607e-05,1.703417022255209e-05,8.09173919061895e-06,6.464475204826376e-05,2.9133250272018533e-05,1.7230132146252612e-05,median,2021-01-01,75,7,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1609459200000,annual,2021,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
8,8_4,4.781773174149772e-06,5.214360664926757e-05,7.917157090400291e-06,-0.5763490615489256,0.2500477439129981,0.0047436630451715,0.5600605039303465,-0.5764485811360586,2.9756033047830173e-05,1.6459597102503156e-05,8.283385787651767e-06,6.257030871514193e-05,2.9414003307143726e-05,1.7936017263247373e-05,median,2022-01-01,532,8,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1640995200000,annual,2022,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
9,9_4,3.406309283394967e-06,5.875188811095185e-05,6.742790802234527e-06,-0.5699603967031783,0.3902420500169664,0.100822121040379,0.6483477143699957,-0.633026371040937,3.0107425535613502e-05,1.946470857023904e-05,6.327567113985927e-06,7.050011889969431e-05,2.4454519155036607e-05,1.3191185260139826e-05,median,2023-01-01,756,9,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1672531200000,annual,2023,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
