,system:index,BLUE,EVI,GREEN,MNDWI,NBR,NDMI,NDVI,NDWI,NIR,NIRv,RED,SAVI,SWIR1,SWIR2,composite_stat,date,image_count,image_id,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,period,has_any_missing_value,n_missing_values
0,0_4,0.0499140749545518,0.3517859316840808,0.074291289097096,-0.5476905857984495,0.2773509632303204,0.0325241136801798,0.5383213961300986,-0.5659829450036069,0.2766262457465155,0.1544128632340131,0.0814875987624108,0.3381282567955282,0.259273786882953,0.159069358597865,median,2014-01-01,17,0,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1388534400000,annual,2014,baseline,False,0
1,1_4,0.0522124251255422,0.4252564696433654,0.0776590727433241,-0.5427779819208347,0.3421571712248991,0.0834961639549519,0.6085108187802407,-0.594339843537792,0.3086963039784322,0.1903734726527289,0.0751864518762518,0.3938453435655309,0.2666912680481854,0.1562948188299173,median,2015-01-01,18,1,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1420070400000,annual,2015,baseline,False,0
2,2_4,0.0499708703328206,0.349578162502161,0.0736661626579033,-0.5448034541444464,0.2750768857943116,0.0365793052664084,0.5467529804381331,-0.5730699227512194,0.2735565200671235,0.1505764654366913,0.0792984763203282,0.3384051864290869,0.2546715418589476,0.160244776954272,median,2016-01-01,247,2,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1451606400000,annual,2016,baseline,False,0
3,3_4,0.0531575025237936,0.3629268123595101,0.0790043280873436,-0.5511357849653433,0.2756808405781645,0.0390995572322511,0.5430991254802434,-0.5690312095309513,0.2880009794653643,0.1578248756545104,0.0860313481434799,0.3476545135823128,0.2738490033203211,0.1693820994462242,median,2017-01-01,312,3,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1483228800000,annual,2017,baseline,False,0
4,4_4,0.0383989975178297,0.4548726440278897,0.066030001922808,-0.5401615294921008,0.4569701773707471,0.1724649119229847,0.6836705216331768,-0.6445518600016125,0.3039449829277953,0.2101928653572186,0.0583693571411923,0.4310428257173905,0.2214644015405771,0.1189588219013656,median,2018-01-01,670,4,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1514764800000,annual,2018,current,False,0
5,5_4,0.0385599811215214,0.4305899080814281,0.0649135042301775,-0.5568342052784921,0.4124332454090182,0.1393102351555726,0.6485955873187806,-0.6399226438455378,0.3032413164825436,0.2006725684231113,0.0643432579359529,0.4122208459190815,0.2322745140539783,0.1285425753391134,median,2019-01-01,705,5,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1546300800000,annual,2019,current,False,0
6,6_4,0.0357216921875727,0.4686520524216769,0.0616378105626252,-0.5453355991976299,0.4930621122959869,0.2034365170050137,0.7050971827638077,-0.6662003090513544,0.3089122080827857,0.2192700292945979,0.0535212298396495,0.4439289160787522,0.2098581395958607,0.108058331585326,median,2020-01-01,653,6,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1577836800000,annual,2020,current,False,0
7,7_4,0.0441347859273761,0.360730020579069,0.0689543108772665,-0.5672631968462744,0.3272228485486891,0.057462823552295,0.5743700326392365,-0.6008893335110905,0.2751222063930453,0.1591708669450901,0.0749929788374587,0.3532894503147869,0.2518069544469304,0.1459298262480771,median,2021-01-01,75,7,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1609459200000,annual,2021,current,False,0
8,8_4,0.0518677824779751,0.3726339739532804,0.078156549200578,-0.5428335460724504,0.3014918575643171,0.0550931324450023,0.5619714810995576,-0.579518942745942,0.2922926589521278,0.1643793594931922,0.0828957808931151,0.3577663987617951,0.2650167735864446,0.1619581562019299,median,2022-01-01,532,8,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1640995200000,annual,2022,current,False,0
9,9_4,0.0534723975085069,0.3630618324621704,0.0814045803617209,-0.5603402190176789,0.2598241611079275,0.0128875326484137,0.5426567521213511,-0.5692262629005622,0.303518539073789,0.1597226804072929,0.0873612568754952,0.3487355915404976,0.2917634817974176,0.1764567802288724,median,2023-01-01,756,9,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1672531200000,annual,2023,current,False,0
