,site_id,site_name,site_category,year,season,expected_months_in_season,observed_rows_in_season,missing_rows_in_season,min_valid_months_required,NIRv_n_valid_months,NIRv,EVI_n_valid_months,EVI,NDVI_n_valid_months,NDVI
0,degraded_1,degraded_1,degraded,2014,dry,4,3,1,3,0,,0,,0,
1,degraded_1,degraded_1,degraded,2014,wet,3,3,0,2,1,,1,,1,
2,degraded_1,degraded_1,degraded,2015,dry,4,3,1,3,0,,0,,0,
3,degraded_1,degraded_1,degraded,2015,wet,3,1,2,2,1,,1,,1,
4,degraded_1,degraded_1,degraded,2016,dry,4,4,0,3,2,,2,,2,
5,degraded_1,degraded_1,degraded,2016,wet,3,3,0,2,1,,1,,1,
6,degraded_1,degraded_1,degraded,2017,dry,4,4,0,3,2,,2,,2,
7,degraded_1,degraded_1,degraded,2017,wet,3,3,0,2,1,,1,,1,
8,degraded_1,degraded_1,degraded,2018,dry,4,4,0,3,2,,2,,2,
9,degraded_1,degraded_1,degraded,2018,wet,3,3,0,2,2,1.4119175200628754e-05,2,4.559993739485484e-05,2,0.5103552409241079
10,degraded_1,degraded_1,degraded,2019,dry,4,4,0,3,2,,2,,2,
11,degraded_1,degraded_1,degraded,2019,wet,3,3,0,2,2,2.0292579637303346e-05,2,6.200931851788204e-05,2,0.6195118297771351
12,degraded_1,degraded_1,degraded,2020,dry,4,4,0,3,3,1.830903422649583e-05,3,5.655792990635171e-05,3,0.6056364173875011
13,degraded_1,degraded_1,degraded,2020,wet,3,3,0,2,3,1.7718222092060338e-05,3,5.384834564307395e-05,3,0.6082423502813178
14,degraded_1,degraded_1,degraded,2021,dry,4,4,0,3,4,1.7482451227716544e-05,4,5.454826117842656e-05,4,0.5729636986864901
15,degraded_1,degraded_1,degraded,2021,wet,3,3,0,2,3,1.6643454923691287e-05,3,5.294198429014459e-05,3,0.5454511553222793
16,degraded_1,degraded_1,degraded,2022,dry,4,4,0,3,3,2.5300558664582767e-05,3,7.324566282315248e-05,3,0.7053898134408704
17,degraded_1,degraded_1,degraded,2022,wet,3,3,0,2,3,1.4321943436423323e-05,3,4.758810686872529e-05,3,0.4758804526668487
18,degraded_1,degraded_1,degraded,2023,dry,4,4,0,3,1,,1,,1,
19,degraded_1,degraded_1,degraded,2023,wet,3,3,0,2,3,2.019672813228028e-05,3,6.093678645521475e-05,3,0.6132074006143075
20,degraded_1,degraded_1,degraded,2024,dry,4,4,0,3,2,,2,,2,
21,degraded_1,degraded_1,degraded,2024,wet,3,3,0,2,3,2.25543927966178e-05,3,6.598518285873797e-05,3,0.6845637674254167
22,degraded_1,degraded_1,degraded,2025,dry,4,4,0,3,2,,2,,2,
23,degraded_1,degraded_1,degraded,2025,wet,3,3,0,2,3,2.0256491810539993e-05,3,6.0206307619544433e-05,3,0.6602937329124311
24,degraded_2,degraded_2,degraded,2014,dry,4,3,1,3,0,,0,,0,
25,degraded_2,degraded_2,degraded,2014,wet,3,3,0,2,2,1.917555654349806e-05,2,5.787093334676305e-05,2,0.6330588081141438
26,degraded_2,degraded_2,degraded,2015,dry,4,3,1,3,1,,1,,1,
27,degraded_2,degraded_2,degraded,2015,wet,3,1,2,2,0,,0,,0,
28,degraded_2,degraded_2,degraded,2016,dry,4,4,0,3,4,1.8155186638321204e-05,4,5.492708352999523e-05,4,0.6352619272774361
29,degraded_2,degraded_2,degraded,2016,wet,3,3,0,2,2,1.630432022256012e-05,2,4.974385326705134e-05,2,0.5931041825614902
30,degraded_2,degraded_2,degraded,2017,dry,4,4,0,3,4,2.1619124331834363e-05,4,6.459661967433758e-05,4,0.6616001681160188
31,degraded_2,degraded_2,degraded,2017,wet,3,3,0,2,1,,1,,1,
32,degraded_2,degraded_2,degraded,2018,dry,4,4,0,3,3,2.105973064898102e-05,3,6.143989903289963e-05,3,0.7068816660829818
33,degraded_2,degraded_2,degraded,2018,wet,3,3,0,2,3,1.75857970663388e-05,3,5.278208528835272e-05,3,0.6333470376543354
34,degraded_2,degraded_2,degraded,2019,dry,4,4,0,3,3,2.2493320942246208e-05,3,6.5368273392717e-05,3,0.7144501113546321
35,degraded_2,degraded_2,degraded,2019,wet,3,3,0,2,2,1.361569395393785e-05,2,4.411775288027589e-05,2,0.5041781894058635
36,degraded_2,degraded_2,degraded,2020,dry,4,4,0,3,4,1.8168677314245315e-05,4,5.477368410549233e-05,4,0.6462121035235033
37,degraded_2,degraded_2,degraded,2020,wet,3,3,0,2,3,2.15827537186932e-05,3,6.137544763896702e-05,3,0.7405274936268581
38,degraded_2,degraded_2,degraded,2021,dry,4,4,0,3,4,1.4568197119913837e-05,4,4.7733226861184866e-05,4,0.49452310489859597
39,degraded_2,degraded_2,degraded,2021,wet,3,3,0,2,3,1.3272355534483862e-05,3,4.349805619202131e-05,3,0.49164408600192155
40,degraded_2,degraded_2,degraded,2022,dry,4,4,0,3,4,1.3666173024883625e-05,4,4.519345939376692e-05,4,0.4717664616965702
41,degraded_2,degraded_2,degraded,2022,wet,3,3,0,2,3,1.1274945396220389e-05,3,3.951560161390017e-05,3,0.3911294091292179
42,degraded_2,degraded_2,degraded,2023,dry,4,4,0,3,3,1.8457524431742735e-05,3,5.7507847094586144e-05,3,0.5886273472525297
43,degraded_2,degraded_2,degraded,2023,wet,3,3,0,2,3,1.738127612146433e-05,3,5.371731755375343e-05,3,0.585250455003539
44,degraded_2,degraded_2,degraded,2024,dry,4,4,0,3,4,2.0868106045427926e-05,4,6.311660658723558e-05,4,0.6406537442108109
45,degraded_2,degraded_2,degraded,2024,wet,3,3,0,2,3,1.816784235482841e-05,3,5.578266078238993e-05,3,0.6040494751822898
46,degraded_2,degraded_2,degraded,2025,dry,4,4,0,3,3,1.889378138472402e-05,3,5.7387913636133645e-05,3,0.6352260245685634
47,degraded_2,degraded_2,degraded,2025,wet,3,3,0,2,3,1.5111026468519513e-05,3,4.664132796496078e-05,3,0.5596733009856881
48,degraded_3,degraded_3,degraded,2014,dry,4,3,1,3,0,,0,,0,
49,degraded_3,degraded_3,degraded,2014,wet,3,3,0,2,1,,1,,1,
50,degraded_3,degraded_3,degraded,2015,dry,4,3,1,3,0,,0,,0,
51,degraded_3,degraded_3,degraded,2015,wet,3,1,2,2,0,,0,,0,
52,degraded_3,degraded_3,degraded,2016,dry,4,4,0,3,3,1.6679500019209215e-05,3,5.158236347797577e-05,3,0.5934204132410649
53,degraded_3,degraded_3,degraded,2016,wet,3,3,0,2,2,1.5903089635157e-05,2,5.0116744351760295e-05,2,0.5545919125092823
54,degraded_3,degraded_3,degraded,2017,dry,4,4,0,3,2,,2,,2,
