,system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,MNDWI,NBR,NDMI,NDRE,NDVI,NDWI,NIRv,SAVI,composite_stat,date,image_count,image_id,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,period,has_any_missing_value,n_missing_values
0,0_4,0.2424381123852141,0.1464248374353238,0.0540289685591759,0.0773339250337948,0.0710584297650677,0.1218924188924625,0.2312046141565284,0.2740516209854103,0.277441541975481,0.3086705274320607,0.3808518002097424,-0.4980886640153151,0.3188873052625784,0.0850591536651457,0.430348941724195,0.5789480847842039,-0.5548190068670089,0.156680371884284,0.3472674356973279,median,2019-01-01,79,0,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1546300800000,annual,2019,current,False,0
1,1_4,0.2345530741621218,0.1365366918379712,0.0483005514962942,0.0708117064046986,0.0611956710599916,0.1131651138535402,0.2339728720924812,0.279664222078497,0.2829930738125204,0.313252666585093,0.4263596876668219,-0.5245353695445728,0.3714994898389445,0.1152490645370184,0.470818717726051,0.6401131911063391,-0.5929183291999525,0.1796398283797316,0.3853895283902536,median,2020-01-01,93,1,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1577836800000,annual,2020,current,False,0
2,2_4,0.252353859600056,0.1585817866382322,0.0492246830280147,0.0720278562438818,0.072164709772526,0.1195255812124178,0.2099280715401111,0.246850466426607,0.2538578983708572,0.2827418167039577,0.3315667432049879,-0.5511197214165168,0.2451551953830248,0.0175865353884204,0.4034680512524989,0.5494640833336892,-0.5548260874752092,0.1353396406694461,0.3147945723418693,median,2021-01-01,103,2,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1609459200000,annual,2021,current,False,0
3,3_4,0.2542673888850045,0.1588050083321679,0.0598375789516618,0.0818629786626579,0.0762026493963548,0.128453361126649,0.2285202722229992,0.2652695706894139,0.2710618922761385,0.2995896416002426,0.3602192046191693,-0.5051656839072381,0.2814615725840707,0.0509444323679803,0.4096554356044967,0.5619728572233219,-0.5304097775342966,0.1435858716797715,0.3270214114644345,median,2022-01-01,79,3,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1640995200000,annual,2022,current,False,0
4,4_4,0.2706117576795788,0.1637116860112805,0.0592534869831725,0.0833098307928961,0.0773597177550925,0.1331025748147113,0.2470271445135879,0.2878518989185659,0.2894999414417563,0.3218544460564957,0.3847478874079503,-0.5153213054980497,0.2908459782706719,0.0532836920361523,0.4102302288853365,0.5656443090052481,-0.5390810256097435,0.1570778744548773,0.3456912532193337,median,2023-01-01,85,4,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1672531200000,annual,2023,current,False,0
5,5_4,0.347737563510931,0.2523040696522633,0.0907859923437281,0.1307599012958561,0.1890471950309982,0.2308619391810003,0.2848546074558337,0.3088221487088055,0.297831279716124,0.3187444730923415,0.1508621747760044,-0.4486766853117927,0.1031659029650242,-0.0698500774304587,0.1561125667357232,0.2300269969055021,-0.3756597839485444,0.0616130395371626,0.1461834562320892,median,2024-01-01,77,5,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1704067200000,annual,2024,current,False,0
6,6_4,0.3230662567589618,0.2213479460914558,0.0723543685615065,0.1036699211648721,0.1199094069011328,0.1734923507201788,0.2490038907728525,0.2754787789003867,0.2754211709900713,0.3026069963991054,0.2467874789159799,-0.5101232398328277,0.1098067618743026,-0.0879873525246824,0.2578943069889001,0.3818918812709549,-0.437166194731766,0.0975464117664284,0.2356102323026897,median,2025-01-01,116,6,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1735689600000,annual,2025,current,False,0
7,0_5,0.2200848614603458,0.1255928006348973,0.0508497279820543,0.0764129108106687,0.0632894470561083,0.1216932587490742,0.2192782658957189,0.2540256710761266,0.2543105444812908,0.2838547624195756,0.3571209653436457,-0.4791561969815602,0.3553728831850796,0.0979974191756936,0.4118413486470543,0.5968218327264403,-0.533113920565278,0.1426607732958082,0.3271615230136038,median,2019-01-01,79,0,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1546300800000,annual,2019,current,False,0
8,1_5,0.2224819637282411,0.1278331835574506,0.0473650756167777,0.0724803689531887,0.0603546826119876,0.1174547594232476,0.2302378721216023,0.2691469744785795,0.2703996743720867,0.2994025250537519,0.4006489719044241,-0.5019613044236283,0.3528929299521587,0.0952876659165672,0.4285296059760057,0.62039455747739,-0.5623583534223375,0.166722386636943,0.3664271300050484,median,2020-01-01,93,1,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1577836800000,annual,2020,current,False,0
9,2_5,0.3332272030902666,0.2433725303783075,0.0708016238778956,0.0948129153673424,0.103770997027967,0.1494597830800626,0.2179959124945123,0.2477669570472411,0.2525071394587988,0.2813366674359942,0.2477934387628861,-0.5587686485212872,0.0190453543256794,-0.1390301736136061,0.292746374706366,0.3936448757778071,-0.4343966482088752,0.0936539473980548,0.2330603725161633,median,2021-01-01,103,2,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1609459200000,annual,2021,current,False,0
10,3_5,0.3654782698233376,0.2882513480234372,0.0893949172973127,0.1149728256177901,0.126563331146824,0.1734916566856571,0.2405199480906521,0.2708257295450031,0.2738111235823121,0.3043482387263179,0.2360229078995874,-0.5129681317951028,-0.0108515511332097,-0.1402750014250731,0.2567581310394446,0.3379661308193503,-0.3874736985192527,0.0865333728856019,0.2121276852411554,median,2022-01-01,79,3,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1640995200000,annual,2022,current,False,0
11,4_5,0.2595690154229883,0.1513550580032316,0.0620073445250215,0.0910808669914038,0.0785545982694185,0.1387644439990449,0.2488921613643821,0.2868237341528707,0.2869284303293128,0.3207189839615504,0.3792779699269978,-0.478361586956381,0.3223552815117296,0.0629317715089272,0.3961402326703546,0.5597999149137708,-0.5096913488268929,0.1527384374330081,0.3396332527673355,median,2023-01-01,85,4,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1672531200000,annual,2023,current,False,0
12,5_5,0.2783004100109735,0.1632890187432435,0.0622248967684204,0.090588472480352,0.0786853824973983,0.1408780521037058,0.2507880605258153,0.2886551593924746,0.2889063983333939,0.3228797690803313,0.3794215377692778,-0.5134808540894268,0.2815244619138528,0.0266963786806638,0.3904694003407169,0.5584047836827392,-0.5137013727905098,0.1543063272657835,0.3412996792144325,median,2024-01-01,77,5,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1704067200000,annual,2024,current,False,0
13,6_5,0.2955367315244319,0.1823652512393597,0.0600091742283447,0.0883540678823389,0.0817215415969885,0.145386072948427,0.244445782679203,0.2766461849462895,0.2784806742344184,0.3101364839041886,0.3674271071041439,-0.5256051918991167,0.2272149298447489,-0.0160338465882228,0.3524194624462635,0.5401222846196976,-0.5077500075460861,0.1497461076424948,0.3352401027905221,median,2025-01-01,116,6,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1735689600000,annual,2025,current,False,0
14,0_6,0.2530652428703938,0.1499665250360981,0.0535232002664737,0.0789595085854899,0.0707842613163674,0.126391649427687,0.23391814858141,0.2725933842162137,0.2737469181804562,0.3049108039792559,0.3714751003034801,-0.5192347293821121,0.3016813553425103,0.0583305030115529,0.4166233153304435,0.5755681191573352,-0.5464101488883992,0.1518198197815058,0.3389682050403582,median,2019-01-01,79,0,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1546300800000,annual,2019,current,False,0
15,1_6,0.2436979160225292,0.1436468125153397,0.050103416505433,0.0746213295317266,0.0660703855581445,0.1211420139165578,0.23520667427413,0.2743508414959502,0.2751730721295903,0.3046730864732717,0.3941618815923502,-0.5201198107446705,0.3221445395239026,0.0766923398738222,0.4273873206059864,0.5976537005444877,-0.5584870830447143,0.1631679418778168,0.358668985108405,median,2020-01-01,93,1,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1577836800000,annual,2020,current,False,0
16,2_6,0.2744358603180471,0.1797815758605412,0.0481928225814163,0.0735815001577805,0.0770321542296328,0.1267219729255053,0.2154747055561045,0.2496951663388869,0.2544505484067356,0.2817415122064726,0.3203027625365204,-0.5738540709624012,0.1753924456168785,-0.0362336592571238,0.3772785439982587,0.5252403625110832,-0.5392115921214407,0.131372530309125,0.3072694191238955,median,2021-01-01,103,2,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1609459200000,annual,2021,current,False,0
17,3_6,0.2668100692640417,0.1661109353036237,0.055904139426954,0.0803732061633203,0.0759820919143076,0.1313463436363462,0.225165544087694,0.2583918781297113,0.2617583996595765,0.28823055586545,0.3326146452898067,-0.5236990806203771,0.2361083915079863,0.0061589403440156,0.372493889999699,0.5249831423556643,-0.5056078348171547,0.129818372633442,0.3030165971659871,median,2022-01-01,79,3,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1640995200000,annual,2022,current,False,0
18,4_6,0.2858518492192257,0.1785390932243638,0.0564298319876835,0.0836663506806873,0.0974678770077167,0.1500401390380808,0.2419205309074449,0.2720474347123455,0.2666978433478789,0.2926090471970852,0.2909589780125489,-0.5365721535554742,0.2104477377453001,-0.0231399716685954,0.3141449727579747,0.4569060305801088,-0.5020433717429492,0.120988198041931,0.2719687166096322,median,2023-01-01,85,4,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1672531200000,annual,2023,current,False,0
19,5_6,0.3543514885553363,0.2472244199574786,0.0721197812110528,0.1055688289500106,0.1682236249988046,0.2101905534110865,0.2605531248505868,0.2824748094681043,0.2692811641968971,0.2876443079492679,0.1607134509304331,-0.5371220969535624,0.0615669906962989,-0.1214371517431815,0.1599120118465438,0.245010630808264,-0.4302530864795327,0.0666052575855986,0.1576447407552777,median,2024-01-01,77,5,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1704067200000,annual,2024,current,False,0
20,6_6,0.3328921769563985,0.2260142193690692,0.0647113012268628,0.0968682649245999,0.1247405178706327,0.1768099312459559,0.2605450558925434,0.2871922604684965,0.2813184958578636,0.3071868355289788,0.2116692162411121,-0.5413006232059253,0.0905413173592721,-0.1035585495335363,0.2237071737814021,0.3288078569557968,-0.4684060579327515,0.0847215229072228,0.2048187137551106,median,2025-01-01,116,6,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1735689600000,annual,2025,current,False,0
21,0_0,0.2612359804807617,0.1673193949188095,0.0527766232849439,0.0775103170946364,0.0837296401520754,0.135059425971376,0.2298820768020507,0.2664334499037482,0.2658001691278474,0.2958763228621453,0.326679089175577,-0.5258234322225828,0.2450887042051204,0.0233357177660606,0.3684609125356926,0.5139458113908683,-0.5357650359865771,0.1370862930428386,0.3054817355435575,median,2019-01-01,79,0,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1546300800000,annual,2019,current,False,0
22,1_0,0.2825569910967988,0.1891289737435463,0.0562573129089229,0.0849334475788215,0.1100038632672574,0.1593379345182289,0.2535624296921039,0.285770592594221,0.2776270079123601,0.3023344110707091,0.2787251287241224,-0.5186010760845212,0.2087282765942593,-0.0005746501891274576,0.2898452857420313,0.4150212241275723,-0.501969957202705,0.1190937034784097,0.2546134234123219,median,2020-01-01,93,1,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1577836800000,annual,2020,current,False,0
