,site_id,site_name,site_category,year,season,expected_months_in_season,observed_rows_in_season,missing_rows_in_season,min_valid_months_required,NIRv_n_valid_months,NIRv,EVI_n_valid_months,EVI,NDVI_n_valid_months,NDVI
0,degraded_1,degraded_1,degraded,2019,dry,4,4,0,3,4,0.1548753503582945,4,0.3904868035744944,4,0.5907075214465851
1,degraded_1,degraded_1,degraded,2019,wet,3,3,0,2,2,0.14514224562912664,2,0.34862649614015373,2,0.5140984419649692
2,degraded_1,degraded_1,degraded,2020,dry,4,4,0,3,4,0.15480575879708308,4,0.3813049830989429,4,0.5629852715926789
3,degraded_1,degraded_1,degraded,2020,wet,3,3,0,2,3,0.12757611182289177,3,0.3103771328383405,3,0.4881295398173712
4,degraded_1,degraded_1,degraded,2021,dry,4,4,0,3,4,0.16903291768405265,4,0.40271374399414933,4,0.5921353270542071
5,degraded_1,degraded_1,degraded,2021,wet,3,3,0,2,3,0.13176664198725316,3,0.31868282372117923,3,0.4844893782587493
6,degraded_1,degraded_1,degraded,2022,dry,4,4,0,3,3,0.15988095805111938,3,0.40432686799774986,3,0.5751996189120755
7,degraded_1,degraded_1,degraded,2022,wet,3,3,0,2,3,0.10754465183951954,3,0.2729845163356408,3,0.40332734283408583
8,degraded_1,degraded_1,degraded,2023,dry,4,4,0,3,4,0.17683078305347477,4,0.4334633873956606,4,0.6204770422326105
9,degraded_1,degraded_1,degraded,2023,wet,3,3,0,2,3,0.1278690988116965,3,0.3174335811848407,3,0.5123039680937569
10,degraded_1,degraded_1,degraded,2024,dry,4,4,0,3,3,0.15562608531518365,3,0.38747491553707986,3,0.539940842532569
11,degraded_1,degraded_1,degraded,2024,wet,3,3,0,2,3,0.1880453812286088,3,0.4319123575844764,3,0.6104081603868786
12,degraded_1,degraded_1,degraded,2025,dry,4,4,0,3,4,0.16874425421233646,4,0.4295059125983284,4,0.581880918873584
13,degraded_1,degraded_1,degraded,2025,wet,3,3,0,2,3,0.15795562282440992,3,0.37655367501361203,3,0.5747125276162005
14,degraded_2,degraded_2,degraded,2019,dry,4,4,0,3,4,0.17800108978439122,4,0.4213353428722014,4,0.6442110256101593
15,degraded_2,degraded_2,degraded,2019,wet,3,3,0,2,2,0.10330087647783684,2,0.26339041665537377,2,0.43181623803671426
16,degraded_2,degraded_2,degraded,2020,dry,4,4,0,3,4,0.15811963395972967,4,0.3832711592082179,4,0.599023438711808
17,degraded_2,degraded_2,degraded,2020,wet,3,3,0,2,3,0.17076924732141283,3,0.39905567391703417,3,0.6490668421248414
18,degraded_2,degraded_2,degraded,2021,dry,4,4,0,3,4,0.10804338924982326,4,0.27854301795593356,4,0.4106451797936592
19,degraded_2,degraded_2,degraded,2021,wet,3,3,0,2,3,0.10865287215569713,3,0.2713108973764305,3,0.4321814296790499
20,degraded_2,degraded_2,degraded,2022,dry,4,4,0,3,4,0.12629243306613713,4,0.32070875796226617,4,0.45531151311238216
21,degraded_2,degraded_2,degraded,2022,wet,3,3,0,2,3,0.08103039648952766,3,0.21773899966015978,3,0.3080889620306228
22,degraded_2,degraded_2,degraded,2023,dry,4,4,0,3,4,0.1629214500790857,4,0.40531956619753085,4,0.5657859225054235
23,degraded_2,degraded_2,degraded,2023,wet,3,3,0,2,3,0.14267454894614798,3,0.3421586566535683,3,0.5187574491773738
24,degraded_2,degraded_2,degraded,2024,dry,4,4,0,3,3,0.1591222360569152,3,0.3931194113157362,3,0.5555335249186162
25,degraded_2,degraded_2,degraded,2024,wet,3,3,0,2,3,0.15307436410380104,3,0.3587090887703939,3,0.5378924596798985
26,degraded_2,degraded_2,degraded,2025,dry,4,4,0,3,4,0.16031143949522597,4,0.4161022884251948,4,0.5610411194598997
27,degraded_2,degraded_2,degraded,2025,wet,3,3,0,2,3,0.1278766380607583,3,0.3070701049745428,3,0.49766649455161777
28,degraded_3,degraded_3,degraded,2019,dry,4,4,0,3,4,0.17215729330352672,4,0.41620771131001727,4,0.6149699486093543
29,degraded_3,degraded_3,degraded,2019,wet,3,3,0,2,3,0.12875263965566985,3,0.3195908548796756,3,0.5025346152280846
30,degraded_3,degraded_3,degraded,2020,dry,4,4,0,3,4,0.1455927548570502,4,0.3584241954962019,4,0.5609933461552584
31,degraded_3,degraded_3,degraded,2020,wet,3,3,0,2,3,0.15785308935261794,3,0.39000894200216535,3,0.574445560398817
32,degraded_3,degraded_3,degraded,2021,dry,4,4,0,3,4,0.14573085308099076,4,0.35798265279680164,4,0.5681076957021798
33,degraded_3,degraded_3,degraded,2021,wet,3,3,0,2,3,0.14497152245730105,3,0.342551211914109,3,0.5477161579309584
34,degraded_3,degraded_3,degraded,2022,dry,4,4,0,3,4,0.16627921060342693,4,0.40977826820995394,4,0.6016728663671094
35,degraded_3,degraded_3,degraded,2022,wet,3,3,0,2,3,0.1137229256820217,3,0.2875140698720402,3,0.46518872300948333
36,degraded_3,degraded_3,degraded,2023,dry,4,4,0,3,4,0.1434732143790978,4,0.3419030754587057,4,0.4704884095101793
37,degraded_3,degraded_3,degraded,2023,wet,3,3,0,2,3,0.0940363376732043,3,0.22696643045546838,3,0.4311792225664128
38,degraded_3,degraded_3,degraded,2024,dry,4,4,0,3,3,0.0665666210849362,3,0.16206047824179962,3,0.23787220327043423
39,degraded_3,degraded_3,degraded,2024,wet,3,3,0,2,3,0.0966419244599277,3,0.23017482328142122,3,0.33272102844172396
40,degraded_3,degraded_3,degraded,2025,dry,4,4,0,3,3,0.10600133221539303,3,0.2604020315213449,3,0.36926407937234806
41,degraded_3,degraded_3,degraded,2025,wet,3,3,0,2,3,0.08440683838199363,3,0.19331657496435553,3,0.2826090519939057
42,ks_rehab,KS Rehab,focal,2019,dry,4,4,0,3,4,0.16842343669968818,4,0.39549358232813353,4,0.5915767218485999
43,ks_rehab,KS Rehab,focal,2019,wet,3,3,0,2,2,0.12845543189653974,2,0.3058194518729644,2,0.47119081573062516
44,ks_rehab,KS Rehab,focal,2020,dry,4,4,0,3,4,0.11170271264733045,4,0.2658731206627786,4,0.3930449934729871
45,ks_rehab,KS Rehab,focal,2020,wet,3,3,0,2,3,0.1438764152045998,3,0.35136658036150653,3,0.49218197613486625
46,ks_rehab,KS Rehab,focal,2021,dry,4,4,0,3,4,0.10965773098795946,4,0.2627366638585994,4,0.4008738084171601
47,ks_rehab,KS Rehab,focal,2021,wet,3,3,0,2,3,0.11348516912635569,3,0.260970551979309,3,0.39925564006794895
48,ks_rehab,KS Rehab,focal,2022,dry,4,4,0,3,4,0.13432584757967966,4,0.31309134509303294,4,0.42683406442093275
49,ks_rehab,KS Rehab,focal,2022,wet,3,3,0,2,3,0.09741306515409509,3,0.23431227510946107,3,0.3483197248643486
50,ks_rehab,KS Rehab,focal,2023,dry,4,4,0,3,4,0.13804062658918823,4,0.32549606445061774,4,0.44766019065870266
51,ks_rehab,KS Rehab,focal,2023,wet,3,3,0,2,3,0.10897586354375564,3,0.2588310937202796,3,0.4057966244105014
52,ks_rehab,KS Rehab,focal,2024,dry,4,4,0,3,3,0.12673580695866793,3,0.31568520965756525,3,0.45484696808783553
53,ks_rehab,KS Rehab,focal,2024,wet,3,3,0,2,3,0.14200881196242077,3,0.3225633533568529,3,0.4412894701435717
54,ks_rehab,KS Rehab,focal,2025,dry,4,4,0,3,4,0.12378761603919126,4,0.3245485797866855,4,0.48606145902111575
